rev_1_yr_growth,rev_3_yr_growth,ocf_yr_growth,op_inc_1_yr_growth,gross_margin,op_margin,net_margin,roic
34.0,25.0,13.0,5.0,31.0,35.0,34.0,36.0
68.73676470588235,72.20599999999999,183.5630769230769,1119.9419999999998,58.71129032258065,-54.608857142857126,-74.76735294117648,-12.756944444444446
74.100074825979,109.43400168594769,291.2739468663082,2225.1926320141365,19.785143372732225,214.53177094713567,170.6784762540875,27.19739807087062
-18.12,-7.98,-18.06,10.65,24.14,-857.78,-854.1,-98.59
24.1125,30.46,14.87,68.0,43.709999999999994,-60.28,-69.1425,-26.41
51.224999999999994,54.99,48.9,197.99,60.72,-32.08,-31.64,-9.125
93.715,73.3,132.45,225.78,74.75999999999999,4.65,2.32,3.815
325.81,564.1,868.57,5097.29,90.75,714.5,63.2,33.77
